"","RERI","SE","2.5%-CI","97.5%-CI","Factor","Region"
"27",0.0501309511660138,1.07035638525681,-2.04776756393733,2.14802946626936,"joint_p05_p90_2d","Antofagasta"
"28",-0.0399933307132367,1.4604029546332,-2.9023831217943,2.82239646036783,"joint_p05_p90_2d","Atacama"
"29",0.469331524071712,1.07237564800884,-1.63252474602562,2.57118779416904,"joint_p05_p90_2d","Aysen"
"30",-0.00949957325266337,0.19891847915646,-0.399379792399324,0.380380645893997,"joint_p05_p90_2d","Biobio"
"31",0.00365256361804489,0.449268102934864,-0.876912918134289,0.884218045370379,"joint_p05_p90_2d","Coquimbo"
"32",0.502105212467774,0.37396449020984,-0.230865188343512,1.23507561327906,"joint_p05_p90_2d","La.Araucania"
"33",-0.601086007581458,0.359362463149897,-1.30543643535526,0.10326442019234,"joint_p05_p90_2d","Los.Lagos"
"34",-0.286616863406384,0.503864357384155,-1.27419100387933,0.70095727706656,"joint_p05_p90_2d","Los.Rios"
"35",-0.0879840343957938,0.282705346829309,-0.64208651418124,0.466118445389653,"joint_p05_p90_2d","Maule"
"36",0.292736634973132,0.29594494988792,-0.28731546680719,0.872788736753454,"joint_p05_p90_2d","Metropolitana.de.Santiago"
"37",-0.726713272914232,0.492278443388757,-1.6915790219562,0.238152476127732,"joint_p05_p90_2d","Nuble"
"38",0.542456940591016,0.296067674084643,-0.0378357006148843,1.12274958179692,"joint_p05_p90_2d","O.Higgins"
"39",-0.63586340813527,0.30970141554527,-1.242878182604,-0.0288486336665408,"joint_p05_p90_2d","Valparaiso"
"40",0.151597366024214,0.51354516944842,-0.854951166094689,1.15814589814312,"joint_p075_p90_2d","Antofagasta"
"41",-0.74445770057598,1.14387132441738,-2.98644549643405,1.49753009528209,"joint_p075_p90_2d","Atacama"
"42",0.0580951703630266,0.787976815089414,-1.48633938721222,1.60252972793828,"joint_p075_p90_2d","Aysen"
"43",-0.107970670881382,0.231776415905613,-0.562252446056383,0.346311104293619,"joint_p075_p90_2d","Biobio"
"44",0.131326807306508,0.436824440390913,-0.724849095859682,0.987502710472699,"joint_p075_p90_2d","Coquimbo"
"45",-0.166563240801921,0.385517035599609,-0.922176630577155,0.589050148973312,"joint_p075_p90_2d","La.Araucania"
"46",-0.715735068295824,0.389842571912024,-1.47982650924339,0.0483563726517441,"joint_p075_p90_2d","Los.Lagos"
"47",0.527178823256789,0.464941655641774,-0.384106821801087,1.43846446831467,"joint_p075_p90_2d","Los.Rios"
"48",-0.376082468635175,0.37291943892005,-1.10700456891847,0.354839631648123,"joint_p075_p90_2d","Maule"
"49",0.789368159570661,0.309159497581401,0.183415544311116,1.39532077483021,"joint_p075_p90_2d","Metropolitana.de.Santiago"
"50",-0.334056448344983,0.339171411300812,-0.998832414494576,0.330719517804609,"joint_p075_p90_2d","Nuble"
"51",0.482115522647571,0.260815372283492,-0.0290826070280736,0.993313652323216,"joint_p075_p90_2d","O.Higgins"
"52",-0.360653857138865,0.279996428064319,-0.90944685614493,0.1881391418672,"joint_p075_p90_2d","Valparaiso"
"53",0.108825244892506,0.570963814202119,-1.01026383094365,1.22791432072866,"joint_p10_p90_2d","Antofagasta"
"54",-0.35040262757392,1.13045736864295,-2.5660990701141,1.86529381496627,"joint_p10_p90_2d","Atacama"
"55",-0.244950517451045,0.633874616675492,-1.48734476613501,0.997443731232921,"joint_p10_p90_2d","Aysen"
"56",-0.0392526469478139,0.227260530127603,-0.484683285997915,0.406177992102287,"joint_p10_p90_2d","Biobio"
"57",-0.296595347183316,0.496636213210203,-1.27000232507531,0.676811630708683,"joint_p10_p90_2d","Coquimbo"
"58",0.0927626519445724,0.348652516819342,-0.590596281021339,0.776121584910484,"joint_p10_p90_2d","La.Araucania"
"59",-0.632407070655065,0.378026897713207,-1.37333979017295,0.10852564886282,"joint_p10_p90_2d","Los.Lagos"
"60",0.286959592163102,0.446750117537642,-0.588670638210676,1.16258982253688,"joint_p10_p90_2d","Los.Rios"
"61",0.0873369575525867,0.339299207049523,-0.577689488264478,0.752363403369652,"joint_p10_p90_2d","Maule"
